,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13
o0,,,,,,,,,,,,,,
o1,,,,,X,,,,,,,X,,
o2,,,,X,X,,,,,,,X,,
o3,,,,,,,,,,,,,,
o4,,,,,,,,,,,,,,X
o5,X,X,,,X,X,,,,,,,,X
o6,,,,,,,,,,,,,,X
o7,,,,,X,,,,,,,X,,
o8,,,,,X,,X,,X,X,,,,
o9,,,,,,,X,,,,,,X,
o10,,,,,,,,,,,,,,X
o11,,,,,,X,,,,,,,,
o12,,,,,,,,,,,,,X,
o13,,,,,X,,,,,,,,,X
o14,,,,X,,,,,,,X,,,
o15,X,,,,,,,,,,,,,X
o16,X,,,,,X,,,,,,,,
o17,,,,,,,,,,,,X,,
o18,,,,,,X,,,,,,,,
o19,,,,,,,,,,,,,,X
o20,,,,,,,,,X,,,,,
o21,,,,,,X,,,,,X,,,
o22,,,,,,,,,X,X,,,,
o23,,,,,,,,,,,,,,
o24,,,,,,,,,,X,,,X,
o25,,X,,,,X,,,X,,,,X,
o26,,,X,,,,,,,,,,,
o27,,,,,,,,,,,,X,,
o28,,,X,,,,,,,X,,,X,
o29,,,,,,,,,,,,,X,
o30,,,X,,,,,X,,,X,,,X
o31,X,,,X,,,,,,,,,,
o32,,,,,,,,,,,,,,
o33,,,,,,,,,,X,,,,
o34,,,,,,,,,X,,,,,
o35,,,,,,,,,,X,,,,
o36,,X,,,X,,,X,,,,,,X
o37,,,X,,,,,,X,,X,,,
o38,,,,,,,,,,X,,X,,
o39,,,,X,,X,,,,,X,,,
o40,,,,,X,,,,,,,,,
o41,,,,,,,,,X,,,,,
o42,,,,X,,,,,,,,,X,
o43,X,,,,,,,,,,,,,
o44,,,,,,,,,,,,,,
o45,,,,,,,,,,,X,,X,
o46,,,,,,,,,,,,,,
o47,,,X,,,,X,,,,,,,X
o48,,X,,,X,,,,,,,,,
o49,,,,,,,,,,,,,,
o50,,,,,,,,,,,,,,
o51,,X,,,,X,X,,,,,,,
o52,,,,,,,,,,,,,,
o53,X,,,,,,X,,,,,,,
