,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18
o0,,,,,,,,,,X,,,,,,,,,
o1,X,,,,,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,X,,,,
o3,,,,X,X,,,,,,X,X,,,,,,,
o4,,,,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,,,,,,
o6,,,,,,,,,X,,,,,,,,,,
o7,,,,,,,,,,,,,,,,,,,
o8,,,,,,,,,,,,,,,,,,,
o9,,,,,,X,,,,,,,,,,,,,
o10,,,,,,,,,,,,,,,,,,,
o11,,,,,,X,,,X,,,X,,,,,,,
o12,,,,,,,,,,,,,,,,,,,
o13,,X,,,,,,,,,X,,,,,,,,
o14,X,,,,,,,,,,,,,,,,,X,
o15,,,,,,,,,,,,,,,,,,,
o16,X,,,,,,X,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,,,X,,,
o19,,,X,,,,,,,,X,,,,,,,,
o20,,,,,,,,,,,,,,,,,,,
o21,,,,,,X,,,,,,,,,,,,,
o22,,,,,,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,,,,,
o24,,,,,,,,,X,,,,,,,,,X,
o25,,,,,,,,,,,,,,,,,,,
o26,,,,,,,,,,,,,,,,,,,
o27,,,X,,,,,,,,,,,,X,,,,
o28,,,,,,,,,,,,,,,,,,,
o29,,,,X,,,,,,,X,,,,,,X,,
o30,,,,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,,,,,,
o32,,,,,,,,,,,,,,,,,,,
