,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
o0,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,X,,
o4,,,,,,,,X,,,,,,,
o5,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,
o7,,,,,,,,,,,,,,,
o8,,,,,,,,,,,,,,,
o9,,,,,,,,,,,,,,,
o10,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,
o13,,,,,,,,,X,,,,,,
o14,,,,,,,,,,,,,,,X
o15,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,
o21,X,,,,,,X,,,,,,,,
o22,,,,,,,,,,,,,,,
o23,,,X,,,,,,,,X,,,,
o24,,,,,X,,,,,,,,,,
o25,,,,X,,,,,,,,,,,
o26,,,,,,,,,,,,,,,
o27,,,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,X,
o31,,,,,,,,,,,,,,,
o32,,,,,,,,,,,,,,,
o33,,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,,,
o35,,,X,,,,,X,,,,,,,
o36,,,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,
o38,,,,,,,,,,,,,,,
o39,,,,,,,,,,,,,,,
o40,,X,,,,,,,,,,,,,
o41,,,,,,,,,,X,,,,,
o42,,,,,,,,,,,,,,,
o43,,,,,,,,,,,,,,,
o44,,,,,,,,,,,,,,,
o45,,,,,,,,,,,,,,,
o46,,,,,,,,,,,,,,,
o47,,,,,,,,,,,,,,,X
o48,,,,,,,,,,,,,,,
o49,,,,,,,,,,,,,,,
o50,,,,,,,,,,,,,,,
o51,,,,,,,,,,,,,,,
o52,,,,,,,,,,,,,,,
o53,,,,,,,,,,,,,,,
o54,,,,,,,,,,,,,,,
o55,,,,,,,,,,,,,,,
o56,,,,,,,,,,,,,,,
o57,,,,,,,,,,,,,,,
o58,,,,,,,,,,,,,,,
o59,,,,,,,,,,,,,,,
o60,,,,,,X,,,,,,,,,
