,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
o0,,,,,X,,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,,,,,,
o2,,,,,,,X,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,,,,X,,,
o4,,,,,,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,,X,,,,,X
o7,,,,,,,,,,,,,,,,,,,,,
o8,,,,,,,,,,,,,,,,,,,,,
o9,,,,,,,,,,,,,,,,X,,,,,
o10,,,,,,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,X,,,,,,,,,,
o12,,,,,,,,,X,,X,,,,,,,,,,
o13,,,,,,,,,,,,,,,,,,,,,
o14,,X,,,,,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,X,,,,,,,X,
o17,,,,,,,,,,,,,,,,,,,,,
o18,,,,,,X,,,,,,,,,,,,,,,
o19,,X,,,X,,,,,,,,,,,,,,,,
o20,,,,,,,,,X,,,,,,,,,,,,
o21,,,,,,,,,,,,,,,,,,,,X,
o22,X,,,,,,,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,,,,,,,
o24,,X,,,,,,,,,,,,,,,,,,,
o25,,,,,,,,,,,,,,,,,,,,,
o26,,,,,,,,,,,,,,X,,,,,,,
o27,X,,,,,,,,,,,X,,,,,,X,,,
o28,,,,,,,,,,,,,,,,,,,,,
o29,X,,,,,,,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,,,,,,,,
o32,,,,,,,,,,,,,,,X,,,,,,
o33,,,,,,,,,,X,,,,,,,,,,,
o34,,,,X,,,X,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,,,,,,,,,
o36,,,,,,,,,X,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,,,,,,,
o38,X,,,,,,,,,,,,,,,,,,,,
o39,,,,,,,,,,,,,,,,,,,,,
o40,,,,,,,,,,,,,,,,,,,,,
o41,,,,,,,,,,,,,,,,,X,,,,
o42,,,,,,X,,,,,,X,,,,X,,,,,
o43,,,,,,,,,,,,,,,,,,,,,
o44,X,,,,,,,,,,,,,,,,,,,,
o45,,,X,,,,X,,,,,,,,,,,,,,
o46,,,,,,,X,,X,,,,,,,,,,,,
o47,,,,,X,,,X,,,,,,,,,,,,,
o48,,,,,,,,,,,,,,,,,,,,,
o49,,,,,,,,,,,,,,,,,,,,,
o50,,,,,,,,,,,,,,X,,,,,,,
o51,,,,,,,,,,,,,,,,,,,,,
o52,,,,,,,,,,,,,,,,,,,,,
o53,,,,,,,,,,,,,,,,,,,,,
o54,,,,,,,,,,,,,,,,,X,,,,
o55,,,,,,,,,,,,,,,,,,,,,
o56,,,,,,,,,,,,,,,,,,,,,
o57,,,,,,,,,,,,,,,,,,,,,
o58,,,,,,,,,,,,,,,,,,,,,
o59,,,X,,,,,,,,,,,,,,,,,,
o60,,,,,,,,,,,,,,,,,,,,,
o61,,,,,,,,,X,,,,,,,,,,,,
