,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17
o0,,,,X,,,,,X,,,,,,,,,
o1,,,,,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,,,,
o4,,,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,,,,
o7,,,,,,,,,,,,X,,,,,,
o8,,,,,,,,,,,,,,,,X,,X
o9,,,,,,,X,,,X,,,,,,,,
o10,,,,,,,,,,,,,,,,X,,
o11,,,,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,,,X,
o13,,,,,,,,,,,,,,,,,,
o14,,,,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,,,,,
o17,,,,,,X,,,,,X,,,,,,,
o18,,,,,,X,,,,X,,,,,,,,
o19,,X,,,,,X,,X,,,,,,,,,
o20,,,,,,,,,,,,,,,,,,
o21,,,,,,,,,,,,,,,,,,
o22,,,,,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,,,
o25,,,,,,,,,,,,,,,,,,
o26,,,,,,,,,,,,,,,,,,
o27,,,,,,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,X,,,,
o29,,,,,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,,,,X,
o32,,,,,,,,,,,,,,,,,,
o33,,,,,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,,,,,,
o35,,,,,,,X,,,,,,,,,,,X
o36,,,,,X,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,,,,
o38,,,,,,,,,,,,,,,,,,
o39,,,,X,,,,,,,,,,,,,,
o40,,,,,,,,,,,,,,,,,,
o41,,,,,,,,,,,,,,,,,,
o42,,,,,,,,,,,,,,,,,X,
o43,,,,,,,,,,,,,,,,,,
o44,,,,,,,,,,,,,,X,,,,
o45,,,,,,X,,,,,,,,,,,,
o46,,,,,,,,,X,,,,,,,,,
o47,,,,X,,,,,,,X,,,,,,,
o48,,,,,,,,,,,,,,,,,,
o49,,,,,,,,X,,,,,,,,,,
o50,,,,,,,,,,,,,X,,,,,
o51,,,,,,,,,,,,,,,,,,
o52,,,,,,X,,,,,,,,,,,,
o53,,,,,,,,,,,,,,,,,,
o54,,,,,,,,,,,,,,,,,,
o55,,,,,,,,,,,,,,,,,,
o56,,,,,,,,,,,X,,,,,,,
o57,,,,,,,,,,,,,,,,,,
