,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
o0,,,,,,,,,,,X,
o1,,,,,,,X,,,,,
o2,,,,,X,,,,,,,
o3,X,,,,,X,,,,,X,
o4,,X,,,,,,,,,,
o5,,,,,X,,,,,,,X
o6,,,,,,,,,X,,,
o7,,,,,,X,,,,,,
o8,,,,,,,,,,,,
o9,,,,,,,,X,,,,X
o10,,,X,,,,,X,,,,
o11,,,,,,X,,,,X,X,X
o12,,X,,,,X,,X,X,,,
o13,,,,,,,,,X,,,X
o14,,X,,,,X,,X,,,X,X
o15,,,,,X,,,,,,,
o16,,,X,,,,X,,,X,,
o17,,,,,,,,,X,,,
o18,,,,,,X,,,X,,,
o19,,,,,X,,,,,,,
o20,,X,,,,,,,,,,
o21,,,,,,,,X,,,,
o22,X,,,X,,,,,X,,,
o23,,,X,,,,X,,,,,
o24,,,X,,,,,,,,,
o25,X,,,,,,,,,,,
o26,,,,,,,,,,,,
o27,,,,X,X,,,,X,,,
o28,,X,X,,,,,,,,,
o29,,,,,X,,X,,X,,X,
o30,,,X,,,,X,,,,,
o31,,X,,,,,,,,,,
o32,,,,,,,,,X,X,,
o33,,,,,,,,,,,,
o34,,,,,,,,,X,X,,
o35,,,,,,,,,,,X,
o36,X,,,,,,X,,,,,
o37,,,X,X,,,X,,X,,,X
o38,,X,X,,,,,,,,,
o39,,,,,,,,,,,,
o40,X,X,,,,,,,,,,
o41,,,X,X,X,X,,,,,,
o42,X,,,X,,,X,,,,,
o43,X,,,,,,X,,X,,,
o44,,,,,,X,,,,,,X
o45,,,,,X,,,X,,,,X
o46,,,,,X,,X,,X,,X,
o47,,,,,X,,,,,,,
o48,X,,,,,X,,,,,,
o49,,,,,,X,,,,X,,
o50,,X,,,,,,X,X,,,X
o51,,,,,,,,,,X,,
o52,,,,X,,,,,,,,
o53,X,X,X,,,,,,X,,,
o54,,,,X,,,,,,,X,X
o55,,X,,,,,,,X,,,
o56,,,,,,,X,,,,X,
o57,,,X,,,,,X,,,X,
o58,,,X,,X,X,,,,,,
o59,,,,,,,,,,,,
o60,,,,,,X,,,,,X,
o61,,X,X,,,X,,,,,,
o62,,,,X,,,X,X,,,,
o63,,,,,,,,,,,,
o64,,,,X,,,X,X,,,X,X
o65,X,,,X,,X,,,,,,
o66,,,,,X,,,X,X,,,
