,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27
o0,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
o1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,
o3,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,
o4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,
o7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
o9,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,
o10,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,,
o11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o12,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,
o13,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,
o14,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,
o15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
o18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o20,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,
o21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o22,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
o23,,,,,,,,,,,,X,,X,,,,,,,,,,,,X,,
o24,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
o25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o26,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,
o27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
o29,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
o30,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
o31,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
o32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o33,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
o34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o35,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
o36,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
o38,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
o39,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
o40,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
o41,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,
o42,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
o43,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
o44,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,
o45,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,
o46,,,,,,,,X,X,,,,,,,,,,,X,,,,,,,,
o47,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
o48,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
o49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o50,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,
o51,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
o52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o53,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,
o54,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
o55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o57,,,,,,,,,,,X,,,,X,,,,,,,,,,,X,,
o58,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
o59,,,,,,,X,,,,,,,X,,,X,,,,,,,,,,X,
o60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
