,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22
o0,,,,,,,,,,,,,,,,,X,,,,,,
o1,,,,,,,,,,,,,,,,,,,,,,X,
o2,,,,,X,,,,,,,,X,,,,,X,,,,,
o3,,,,,,,,,,,,X,,,,,,,,,,X,
o4,,,,,,,,,,,X,X,,,,,,,X,,,,
o5,,,,,,,,,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,,,,,,,,,
o7,,,,,,,X,,,,,,,,,,,,,,,,
o8,,,,,,X,,,,,,,,,,X,,,,,,,
o9,,,,,,,,,,,,,,,,,,,,,,,
o10,,,,,,,,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,,,,,,,,,
o12,,,,X,,,,,,,,,,,,,,X,,,,,
o13,,,,,,,,,,,,,,,,,,,,,,,
o14,,,,,,,,,,,,,,,,,,,,,,,
o15,,,,,,X,,,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,,,,,,,,
o21,,,,,,,,,,,,,,,,,,,,,,,
o22,X,,,,,,,,,,X,,,,,,,,,,X,,
o23,,,,,,X,,,,,,,X,,,,,,,,,,
o24,,,,,,,,,,,X,X,X,,,,,,,,,,
o25,,,,,,,,,,,,,,,,,,,,,,,
o26,,,,,,,,,,,,,,,,,,,,,X,,
o27,,,,,,,,,,,,,,,,,,,,,,,
o28,,,,X,,,,,,,,,,,,,,,,,,,
o29,,,,,,,,X,,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,X,,,,,,,,,
o32,,,,,,,,,,,,,,,,,,,,,,,
o33,,,,,,,,,,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,,,,X,,,,,,,
o35,,,X,,,,,,,,,,,X,,,,,,,,,X
o36,,,,,,,,,,,,,,X,,,,,,,,,
o37,,,,,,,,,,,,,,,,,,,,,,,
o38,,,,,,,,,,,,,,,,,,,,,X,,
o39,,,,,,,,X,,,X,,,,,,,,,,,,
o40,X,,,,,,,,,,,,,,,,,,,,X,,
o41,,,,,,,X,,,,,,,,,,,,,,,,
o42,,,,,,,,,,,X,,,,,,,,,,,,
o43,,,,,,,,,,,,,,,,,,,,,,,
o44,,,,,,,,,,,,,,,,,,,,,,,
o45,,,,,X,,,,,,X,,X,,,,,,,,,,
o46,,,,,,,,X,X,,,,,,,,,,,,,,
o47,,,,,,,,,,,,,,,,X,,,,,,,
o48,,,,,,,,,,,,X,,,,X,,X,,,,,
o49,,,,,,,,,,,,,,,,,,,,,,,
o50,,,,,,,,,,,,,,,,,,,,,,,
o51,,,,,,,X,,,,,,,,,X,,,,,,,
o52,,,,,,,,,,,,,,,,,X,,,,,,
o53,,,,,,,,,,,,,,,,,,,,,,,
o54,,,,,,,,,,,,,,,,,,,,X,,,
o55,,,,,,,,,,,,,,,,,,,,X,,,
o56,X,,,,,,X,,,,,,,,,,,,,,X,X,X
o57,,,,,,,,,,,,,,,,,,,,,,,
o58,,,,X,,,,,,,,,,,,,,X,,,X,,X
