,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24
o0,,,,,,,,,,,,,,X,,,,,,,,,,,
o1,,,,,,,,,,,,X,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,,,,,,,,,,,
o3,,,X,,,,,,,,,,,,,,,,,,,,,X,
o4,,,,,,,,,,,,,,,X,,,,,,,,,,
o5,,,,,,,,,,,,,,,,,,,,,X,,X,,
o6,,,,,,,,,,X,,,,,,,,,,,,,,,
o7,,,,,X,,,,,,,,,,,,,,,,,,,X,
o8,,,,,,,,,,,,,,,,X,,,,,,,,,
o9,,,X,,,X,,,X,,,,,,,,,,,,X,,X,,
o10,,,,,,,,,,,,,X,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,,,,,,,,,,,
o12,,,,,,X,,,,,,,,,,,,,,,,,,,
o13,,,,,,,,,,,,,,,,,,,,,,,,,
o14,,,,,,X,,,,,,,,X,,,,,,,,,,,
o15,X,,,,,,,,,,,,,X,,,,,,X,,,,,
o16,,,,,,,,,,,,,,,X,,,,X,,,,,,
o17,,,,,,,,,X,X,,,,,,,,,,,,,,,
o18,,,,X,X,,,,,,,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,,X,,,,,,,,
o21,,,,X,,,,,X,,,,,,,,,,,,,,X,,
o22,,X,,,,,,,,,,,,,,,,,X,X,,,,,
o23,,X,,,,,,,,,,,,,,,,,,,,,X,,
o24,,,,X,,,,X,,,,,,,,,,,X,,,,,,
o25,,,,,,,,,,,X,,,,,,,,,,,,,X,
o26,,,,,,,,,,,X,,X,X,,,,,,,,,,,
o27,,,,,,,,X,,,,,,,,,,,,,,,X,,
o28,,,X,,,,,X,,,,,,,,,,,X,,,,,,
o29,,X,,,,,,,,,,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,X,,,,,,,,,,,
o31,,,,,,,,,,,,,,,,,,,,,,,,,
o32,X,,,,,,,,,,,,,,,,,,,,,,,,
o33,,,,,,,,,,X,,,,,,,X,,,,,,,,
o34,,,,,,,,,,,,,,,,X,,,,,,,X,,
