,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9
o0,,,,,X,,,,X,
o1,,,,,,X,,,,
o2,,,,,,,,,,
o3,X,,X,,,,,X,,
o4,,,,,,,,,X,X
o5,,,,X,,X,,,,X
o6,,,,X,,,,,,
o7,,,,,,X,,X,,
o8,X,,,,,X,,,,
o9,,X,,,,,,,,
o10,,,,,X,,X,,,
o11,,,,,,,,,,
o12,,X,X,,,,X,,X,
o13,,,,,,,X,,,
o14,,X,,,,,X,,,
o15,,,,,,,X,,,X
o16,X,,,X,,,X,,,X
o17,,,X,,,,,,,
o18,,X,,X,X,,,,,
o19,,,X,,,,X,,,
o20,X,,,,,,X,,,
o21,,X,,,X,X,X,X,,
o22,,,X,,,,,,,X
o23,,X,X,,,,X,,,
o24,,,X,X,,,,,,
o25,,,,,,,,,,X
o26,X,,,,,X,,,X,
o27,X,,,,,,,,X,
o28,,,X,,X,,X,,,
o29,,,,,,,,,,
o30,,X,,,X,,,,,
o31,X,,,,,,,,,
o32,X,X,,,,X,,,,
o33,,,,,,,X,,,X
o34,,X,,,X,,,X,X,
o35,X,,X,,,,,,X,
o36,,,,X,,,,,,
o37,,,,X,X,,,X,,
o38,X,X,,,,,,,,
o39,,X,,,,,,X,X,X
o40,,,,,,,,,,X
o41,X,,,,,,,,X,
o42,,,,,,,,,,
o43,,X,,X,,,,,,
o44,,,,,,X,,,X,X
o45,,,,X,,,,,,X
o46,,,,,X,X,,,,X
o47,,,,,,,,,,
o48,,,X,,,,X,,,
o49,X,,,,,,,,X,X
o50,,,,,,X,,,,
o51,,,,,X,,,,,
o52,,,X,,,,,,X,X
o53,,,,,,,,,,
o54,X,,,X,,X,X,,X,
o55,,,,X,,,,,,
o56,X,,,X,,,,X,,
o57,,,,,X,,X,,,X
o58,,X,,,X,,,,,
o59,,,X,,,X,,,X,
o60,,,,,,,,,,
o61,X,,,X,,X,,X,,
o62,,X,,X,,,,X,X,
o63,,,,,,,,,X,
o64,,,,,,,X,,,X
o65,,X,,,,,X,X,X,X
