,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26
o0,,,,X,,,,,,,,,,,,,,,,,,,,,X,,
o1,X,,,,,,,,,,,,,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,,,,,,,,,,,,,
o3,,,X,,,,,,X,,,,,,,,,,,,X,,X,X,,X,
o4,,,,,,,,,,X,,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,,,,,,,,,,,X,,,
o6,,,,,,,,,,,,,,,,X,,,,,X,,,,,,
o7,,,,,,,X,,,,X,,,,,,,,,,,,,,,,
o8,,,,,,,,,X,,,,,,X,,,,,,,,,,,,
o9,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10,,,,X,,X,,,,,,,,,,,,,,,,,,,,X,
o11,,,,,,,,,,X,,,,X,,,,,,,,X,,,,,
o12,,,,,,,,,,,,,,,,,,,,,,,,X,,,
o13,,,,,,,,,,,,,,X,,,,,,,,,,,,,
o14,,,,,,,,,,,,X,,,,,,,,,,,,,,,
o15,,,,,,,,,,X,,,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,,,,,,,,,,,,,,
o17,,,,,,,,X,,,,,,,,,X,,,,,,,,,,
o18,,,,,,,,,,,X,,,,,,,,,,,,,,,,
o19,,,,,,,,,,X,,,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,,,,X,,,,,,,,
o21,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,
o22,,,,,,,,,,,,,,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,X,,,,,,,,,X,,,
o24,,,,,,,,,,,,,,,,,,,,,X,,,,,,
o25,X,,,,,,,,,,,,,,,,,,,,,,,,,,
o26,,X,,,,,,,,,,,,,,X,,,,,,,,,,,
o27,,X,,,,,,,,,,,,,,X,,,,,,,,,,,X
o28,,,,,,,,,,,,X,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,,,,,,,,,,X,,,X,
o31,,,,,,,,,,,,,,,,,,,,,,,,,,,
o32,,,,,,,X,,,,,,,,,,,,X,,,,,,,,
o33,,,,,,,,,,,,,,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,,X,,,,,,,,,,,,,
o36,X,,,,,,,,,,,,,,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,,,,,,,,,,,,,
o38,,,X,,,,,,,,,,,,,,X,,,,,,,,,,
o39,,,,,,,,,,,,,,,,,,X,X,,,,,,,,
o40,,,,,,,,X,,,,,,,,,,,,,,,,,,X,
o41,,,,,,,,X,,,,,,,,,,,,,,,,,,,
o42,,,,,,,,,,,X,,,,,,,X,,,,,,,,,
