,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16
o0,,,,,,,,,,,,,,X,X,,
o1,X,,,,,,,,,X,,,,,,,
o2,,,,,,X,X,,X,,,,,,X,,
o3,,X,,,,,,,,,,X,,X,,,
o4,X,X,,,,,,,,,,X,,X,,,
o5,,,,X,,,,,X,X,,,,,,,
o6,,,,,,,,,X,,,,,,,,
o7,,,,,,,,,,,,X,X,,,X,
o8,,,,,,,,,,,,X,,,,,
o9,,,,,,,X,,,,X,,,,,,
o10,,,,X,,,,,,,,,X,X,,,
o11,,X,,,,,,,,,,,,,X,,X
o12,,X,,,,,,,,X,,,,,,X,
o13,,,,,,,,X,,,X,,,,,,X
o14,,,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,,
o16,,,X,,,,,,X,,,X,,,,X,
o17,,X,,,,,,,,,,,X,,,,X
o18,,,,,,,,,,,,X,,,,,
o19,,,,,,,,X,,,,,,,,,
o20,,,,,,,,,,,,,X,,,,
o21,,,,,,,,,X,,X,,,,,,
o22,,,X,,X,,,,,,,,,,,X,
o23,,,,,,,,,,X,,,,X,,,X
o24,,,,,,,,,X,,,,,,,,
o25,,,,,,,,,X,,X,,,,,,
o26,,,,,,,,,,,,,,,,,
o27,,,,X,,,,,,,,,,,,,
o28,,,X,,X,,,,,,,,,,,,X
o29,,,,,,,,,X,,,,,,,,
o30,,,,,,,,,X,,,,,,,,
o31,,X,,,,X,,,,,,,,X,,,
o32,,,,,,,,,,,,,,X,,,
o33,,,,X,,,,,,,,,,X,,,
o34,,X,,,,X,,,,,X,,,,,,
o35,,,,,,,,,,,,,,,,,
o36,,,,,,X,,,,,,,,,,,
o37,,,,,,,,,,X,,,,,,,
o38,,,,,,,,,,,,,,,,,
o39,,,,,,,,,,,X,,,,,,
