,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25
o0,X,,,,,,,,,,X,,,,,,,,,,,,,,,
o1,,,,,X,,,,,,,X,,,,X,,,,,,,,,X,
o2,X,,,,,,,,,,,,,,,,,,,X,,,,,,
o3,,,,,,,,,,,,,,,,,,,X,,,,,,,
o4,,,,,,,,,X,,,,,,,,,X,,X,,,,,,
o5,X,,,,,,,,,,,,,,,,,,,,,,,X,,
o6,,,,,,,,,,,X,,,,,,,,,,,,,,,
o7,,,,,,,,,,,,,,,,,,,,,,,,,,
o8,,,,,,,,,,,,,,,,,,,,,,,,,,
o9,,,,,,,,,,,,,,,,,,,,,,,,,,
o10,X,,,,,X,,,X,,,,,,,,,,,,,,,,,
o11,,,,,,,,X,,,,,,,,,,,,,,,,,X,
o12,,,,,,,,,,,,,,,,,,,,,,,X,,,
o13,,,,,X,,,,,,,,,,,,,,,,,,,,,
o14,,,,,,,,,,,,,,,,,,,,,,,,,,
o15,,,,,,,,,X,,,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,,,,,,,,,,,,X,
o17,,,,,,,,,,,,,,X,,,X,,,,,,,,,
o18,,,,X,,,,,,X,,,,,X,,,,,,,,,,,
o19,,,,,,,,X,,,X,,X,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,X,,,,,X,,,,,
o21,,,,,,,,,,,,,,,,,,,,X,X,X,,,,
o22,,,,,,,,,,,,,,,,,,,X,,,,,,,
o23,X,,,X,,,,,,,,,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,,,,,X,,,,,,
o25,,,,,X,,X,,,,,,,,,,,,,,,,,,,
o26,,,X,,,,,,,,,,,,,,,,,,,,X,,,
o27,,,,,,,,,,,,,,,,,,,,,,,,X,,
o28,,,,,,,,,,,,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,,,X,,,,X,,,,,
o30,,,,,,,,X,X,,,,X,,,,,,,,,,,,,
o31,X,,,,,,,,,,,,,,,,,,,,,,,,,
o32,,,,,,,,X,,,,,,,,,,,,,,,,,X,
o33,,,,,,,,,,,,,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,,,,,,,,,,,,,,
o36,,,,,,,,,,,,,,,,,,,,,,X,,,,X
o37,,,,,,,X,,,,,,X,,,,,X,,,,,,,,
o38,,,,,,,,,,,,,,,,,,,,,,,,,,
