,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
o0,,,,X,,,,,,,X,,
o1,,,,,,,,,,,,,
o2,,,X,,,,,,,,,,
o3,,X,,,X,,,,,,,,X
o4,,,,,X,X,,,,,,,
o5,,,X,,,,,,,,,,
o6,,X,X,,,,,X,,,,,
o7,,,,,,,,,,X,,,
o8,,,,X,X,,,,,,,,
o9,,,,,,,,,,,,,
o10,,,X,,,,,,,,,X,
o11,,,,,,,,,,,,,
o12,,,,,,,,X,,X,,,
o13,,,,,,,X,X,,,,,
o14,,,,,,,X,,,,,,
o15,,,,,,,,,,,,,
o16,X,,,,,,,,,,,X,
o17,,X,,,,,,,X,,,,
o18,,X,,,,,,,,,,,
o19,,,,,,,X,X,,,,,
o20,,,,,,X,,X,,,,,
o21,,,,,,,,,,,,,
o22,,X,,,X,,,,,,,,
o23,,,,X,,,,,,X,,X,X
o24,,,,,,,,,,,,,
o25,,,,X,,,,,,,,,X
o26,,,,,,,,,,,,,
o27,,,,,,,,,,,X,,
o28,,X,,,,X,,,,,,,
o29,,,,,,,,,,,,,
o30,,,,,,,,X,,,,,
o31,,,X,,,,,,X,,,X,
o32,,X,X,,,,,,,X,,,
o33,,,,,,,,,,X,,,
o34,,,,,,,,,,,,,X
o35,,,,,,,,X,,,,,
o36,,,,,X,,,,,,,,X
o37,X,,X,,,,,,,,,,
o38,,,,,,,,,,X,,,
o39,,,,,,,,,,,,,
