,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28
o0,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o2,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,
o3,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
o4,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
o5,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,
o7,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
o8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o9,,,,,,X,,,,,,,,,X,,,X,,,,,,,,X,,,
o10,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X
o11,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
o12,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,X
o13,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,
o14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
o15,,,,,,,,,,,X,,,,X,,,,,,,,X,,,,X,,
o16,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,X,
o17,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,
o18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o19,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
o20,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,
o21,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
o22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
o24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o25,,X,,X,,,,,,,X,,,,,,X,,,,,,X,,,,,,
o26,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,
o27,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
o28,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,
o29,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
o30,,,,X,X,X,,,,,,,,,,X,,,,,X,,,,,,,X,
o31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o32,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
o33,,X,,,X,,,,,,,,,,,,,,,,,,,X,,,,,
o34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o36,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,
o38,X,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,
o39,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,
o40,,,X,,,,X,,,,,,,,,,,,,,,X,,X,,,,,
o41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o42,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o43,,X,,,X,,,,,,,,,,,,,,,,,,X,,,,,,
o44,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,
o45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o47,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
o48,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
o49,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,
o50,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,
o51,,,,X,,X,,,,,,X,,,,,,,,,,,,,,,,,
o52,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,
o53,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,
o54,,,,,,,,,,X,X,,,,,X,,,,,,,,,,X,,,
o55,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
o56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o57,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
o58,,,,X,,X,,,,,,,,,,X,,,,,,,,,,,,,
o59,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
o60,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X
o61,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,
o62,X,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,
o63,,,,,,,,,,,,,,,X,,X,,,,,,,,,,X,X,
o64,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
o65,,,,,,,X,,,,,,,,,,,,,,,,X,,X,,,,
o66,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
