,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21
o0,,,,,,,X,,,,,,X,,,X,,,,,,
o1,,,,,,X,,,X,,,,,,,,X,,,,,
o2,,,,,,,,,,,,,,,,,X,,,,,
o3,,,,,,,,,,,,,,,,,,,,,X,
o4,,,X,,,,,,,,,,,,,,,,,,,
o5,,X,,,,,,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,,,,,,,X,
o7,,,,,,,,,,,,,,,,,,,,X,,
o8,,,,,,,X,,,X,,,,,,,,,,,,
o9,,,,,,,X,,,,,,,X,,,,,,,,
o10,,X,,,,X,,,,,,,,,X,,,X,,X,,
o11,,,,,,X,,,,,,,,,,,,,,X,,
o12,,X,,,,,,,,,,,X,,,,,,,,,
o13,,,,,,,,,,X,X,,,,,,,,,,X,
o14,,,,,,,,X,,,,,,,,,,,,,,
o15,,,X,,,,,,X,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,,X,,,,,,,
o17,,,,,,,,,,,,,,,,X,,,,,,
o18,,,,,,,,,,,,,,,,,,,,,,
o19,,X,,,,,,,,,,,,,,,,,,,,
o20,,,,,,,X,,,,,,,,,,,,,,,
o21,,,,,,X,,X,,,,,,,,,,,,,,
o22,,,,,,,,,,,,,,,,,,X,,,X,
o23,,,X,,,,,,,,,,,,,X,,,,,,
o24,,,,,,,,,,,,,,,,,,,,,,
o25,,,,,,,,,,,,,,X,,,,,,,,
o26,,,,,,,,,,,,,,,,,,,X,,,
o27,,X,X,,,,,,,,,,,,,,,,,,,
o28,,,,,X,,,,,,,,X,,,,,X,,,X,
o29,,,,,,,,,,,,,X,,,,,,,X,,
o30,,,,,,,,,,,,,,,,,,,,X,,
o31,,,,,,,,,,,,,,,,X,,,,,,
o32,,,,,,X,X,,,X,,,X,,,,X,,,,,
o33,,,,,,,,,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,,X,,X,,,,,,
o35,,,,X,,,,,,,,,,X,,,,,,,,X
o36,,,,,,,,,,,,,,,,,,,,,,
o37,,,,,,X,,,,,,,,,,,,,,,,
o38,,X,,,,,,,,X,,,,,,,,,,,,
o39,,,,,,,,,,,,,,,,X,,,,,,
o40,,,,X,,,,,,,,,,X,,,,,X,,,
o41,X,,,,,,,,X,,,,,,,,,,,,,
o42,,,,,,,,,,,,X,,,,,,,,,,
o43,,,,X,,,,,,,,,,,,,,,,,,
o44,X,X,,,,,,X,,,,,,,,,,,,,,
o45,X,,,,,,,,,,,,,,,,,,,,,
