,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23
o0,,,,,,,,,,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,,,,,,X,,,,
o4,,,,,,,,,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,,,,,,,,,,
o7,,X,,,,,,,,,,,,,,,,,X,,,X,,
o8,,,,,,,,,,,,,,,,,,,,,,,,
o9,,,,,,,,X,,,,,,,,,,,,,,,,
o10,,X,,,,,,,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,,,,,,,,,,
o13,,,,,,,,,,,,,,,,,,,X,,X,,,
o14,,,,,,,,,,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,X,,,,,,,,,,,
o16,X,,,,,,,,,,,,,,,,,,,X,,,,
o17,,,,,,,,,X,,,,X,,,,,,,,,,,
o18,,,,,,,,,,,,,,,,,,,,X,,,,
o19,,,,,,,,,,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,,,,,,,,,
o21,,,,,,,,,,,,,,,,,,,X,,,,,
o22,,,,,,,,,,,X,,,,,,,,,X,,,,
o23,,,,,,,,,,,,X,X,,,,,,,,,,,
o24,,,,,,,,,,,X,,,,,,,,,,,,,
o25,,,,,,,,,,,,,,,,,,,,,,,,
o26,,,,,,,,,,,,,,,,,,,,,,,,
o27,,,,,,,,,,,,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,,,,,,,,,,
o29,,,,,,X,,,,,,,,,,,,,,,,,,
o30,,,X,,,,,,,,,,,X,,,,,,,,,,
o31,,,,,,,,,,,,,,,,,,,,,,,,
o32,,,,,,,,,,,,,,,,,,,,,,,,
o33,,,,,,,,,,,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,,,,,,,X,,,,,
o36,,,,,,,,,,,,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,,,,,,,,,,
o38,,,,,,,,,,,,,,,,,,,,,,,,
o39,,,,,,,,X,,,,,,,,,,,,,X,,,
o40,,,,,,,,,,,,,,,,,,,,,,,,
o41,,,,,,,,,,,,,,X,,,,,,,,,,
o42,,,,,,,,,,,,,,,,,,,,,,,,
o43,,,,,,,X,,,,,,,,,,,,,,,,,
o44,,,,,,,,,,,,,,,,,,,,,,,,
