BASKET_ID,AIR CARE,ANALGESICS,BACON,BAG SNACKS,BAKED BREAD/BUNS/ROLLS,BAKED SWEET GOODS,BAKING NEEDS,BEEF,BEERS/ALES,BERRIES,BLEACH,BREAKFAST SAUSAGE/SANDWICHES,BROOMS AND MOPS,CAKES,CANDY - CHECKLANE,CANDY - PACKAGED,CANNED JUICES,CHARCOAL AND LIGHTER FLUID,CHEESE,CHEESES,CHICKEN,CIGARETTES,COLD AND FLU,COLD CEREAL,CONDIMENTS/SAUCES,CONVENIENT BRKFST/WHLSM SNACKS,COOKIES,COOKIES/CONES,CORN,COUPON,COUPON/MISC ITEMS,CRACKERS/MISC BKD FD,DELI MEATS,DEODORANTS,DINNER MXS:DRY,DRY BN/VEG/POTATO/RICE,DRY NOODLES/PASTA,DRY SAUCES/GRAVY,EGGS,FEMININE HYGIENE,FIRST AID PRODUCTS,FLUID MILK PRODUCTS,FROZEN MEAT,FROZEN PIE/DESSERTS,FROZEN PIZZA,FRUIT - SHELF STABLE,FRZN BREAKFAST FOODS,FRZN MEAT/MEAT DINNERS,FRZN NOVELTIES/WTR ICE,FRZN VEGETABLE/VEG DSH,HEAT/SERVE,HISPANIC,HOT CEREAL,HOUSEHOLD CLEANG NEEDS,ICE CREAM/MILK/SHERBTS,IRONING AND CHEMICALS,JUICE,KITCHEN GADGETS,LIQUOR,LUNCHMEAT,MAGAZINE,MAKEUP AND TREATMENT,MARGARINES,MEAT - MISC,MEAT - SHELF STABLE,MILK BY-PRODUCTS,MISC. DAIRY,MOLASSES/SYRUP/PANCAKE MIXS,MUSHROOMS,ORAL HYGIENE PRODUCTS,PAPER HOUSEWARES,PASTA SAUCE,PET CARE SUPPLIES,PNT BTR/JELLY/JAMS,POPCORN,PORK,POTATOES,PREPARED FOOD,REFRGRATD DOUGH PRODUCTS,REFRGRATD JUICES/DRNKS,SALAD BAR,SALD DRSNG/SNDWCH SPRD,SEAFOOD - FROZEN,SHAVING CARE PRODUCTS,SHORTENING/OIL,SMOKED MEATS,SOFT DRINKS,SOUP,SPICES & EXTRACTS,SPRING/SUMMER SEASONAL,STATIONERY & SCHOOL SUPPLIES,SUGARS/SWEETNERS,SUNTAN,SWEET GOODS & SNACKS,TROPICAL FRUIT,VEGETABLES - SHELF STABLE,WAREHOUSE SNACKS,WATER - CARBONATED/FLVRD DRINK,YOGURT
27288377026,,,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,
27404676049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
27471976071,,,,,,,,X,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,
27496106798,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
27652047013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,X,,,,,,,,,,,,
27771857605,,,,X,X,X,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,X,,,X,,,X,,X,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
27771857614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
27855955496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27867995651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
28071976389,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,X,,,,,
28143956007,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,X,,,X,,,,,,,,,
28349822785,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
28680515735,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
29144608214,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,
29186005963,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,X,,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,
29302837658,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,X,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,X,,,,,,,,,,,,
