,lapsi10,lapsi10-50,lapsi-50-100,lapsi-ule-100,late-ololu,tooeal10,tooeal-10-50,tooeal50-100,tooeal-ule-100,tooeal-ololu,pens10,pens10-50,pens50-100,pens-ule100,pens-ololu,rahvaarv10,rahvaarv10-50,rahvaarv50-100,rahvaarv-ule-100,inimesi-asulas-,kool,lasteaed,pood,sadam,LAUTRID,korts,majutus,toitlustus,SUVETOIT,pollumajandutegevus,omavalitsus,raamatukogu,bensiin,muuseum,kirik,toot-karjaar,plastivabrik,saekaater,puidutoost,ujumisrand,vaatvaars,vanadekodu,prugimagi,ujula,kalatoostus,looduskaitseline-territ,suvilad_-suvitajad,RIIGIKAITSE,pesumaja,MUUSIKA_-KUNST,METSANDUSTALU,ARST,SIDE,HAMBAARST,LAEVAREMONT,RANNAPUUK,SPORDIHOONE,PANK_-finantst,RAAMATUPID_-AUDIT_-FINANTS,kooskaimiskigt,rehabilt,kunstitookoda__Villavabrik_-ketruskoda,Omblus,autofirma,tootav-jahuveski,ratsutamine_-HOBUSEKASV,tuulejaam,laste-suvellagrid,ilmajaam,lennujaam,karusloomafarm,laidudevaheline_Vedu,APTEEK,MAPARANDUS,kalakasvatus,soojavarustus,sateh__Vesi_-kanal,plast_toot-arv-suurend,plast_toot-arv_Vahend,plasttootj_stabil,plast_pv_Vahenam,Plast_investeerimine,plast_pv-suurend,plast_suur-kaibekasv,plast_kaibe-stab,plast_kaibe_Vahen,plast_kaibe-kasv,plar_-mitu-ettev,puitToot-arv-suur,puittoot-arv_Vahend,puittootjstabil,puitpv_Vahenam,puitinvesteerimine,puitpv-suurend,puitsuur-kaibekasv,-puitkaibe-stab,puitkaibe_Vahen,puitkaibe-kasv,puit-mitu-ettev,pmToot-arv-suur,pmtoot-arv_Vahend,pmtootstabil,pmpv_Vahenam,pminvesteerimine,pmpv-suurend,pmsuur-kaibekasv,-pmkaibe-stab,pmkaibe_Vahen,pmkaibe-kasv,trToot-arv-suur,trtoot-arv_Vahend,trtootstabil,trpv_Vahenam,trinvesteerimine,trpv-suurend,trsuur-kaibekasv,-trkaibe-stab,kaibe_Vahen,trkaibe-kasv,trmitu-ettev,ehToot-arv-ehsuur,ehtoot-arv_Vahend,ehtootstabil,ehpv_Vahenam,ehpvstab,ehinvesteerimine,ehpv-suurend,ehsuur-kaibekasv,-ehkaibe-stab,ehkaibe_Vahen,ehkaibe-kasv,eh-mitu,kalaToot-arv-suur,kalatoot-arv_Vahend,kalastabil,kalapv-stab,kalapv_Vahenam,kalainvesteerimine,kalapv-suurend,kalasuur-kaibekasv,-kalakaibe-stab,kalakaibe_Vahen,kalakaibe-kasv,kaupToot-arv-suur,kauptoot-arv_Vahend,kauptootstabil,kauppv_Vahenam,kaupinvesteerimine,kauppv-suurend,kaupsuur-kaibekasv,kaup-kaibe-stab,kaupkaibe_Vahen,kaupkaibe-kasv,kaupmitu-ettev,majToot-arv-suur,majtoot-arv_Vahend,majstabil,majpv-stab,majpv_Vahenam,majinvesteerimine,majpv-suurend,majsuur-kaibekasv,-majkaibe-stab,majkaibe_Vahen,majkaibe-kasv,maj-mitu-ettev,medToot-arv-suur,medtoot-arv_Vahend,medtootstabil,medpv_Vahenam,medinvesteerimine,medpv-suurend,medsuur-kaibekasv,-medkaibe-stab,medkaibe_Vahen,medkaibe-kasv,meliorToot-arv-suur,meliortoot-arv_Vahend,meliortootstabil,meliorpv_Vahenam,meliorinvesteerimine,meliorpv-suurend,meliorsuur-kaibekasv,melior-kaibe-stab,meliorkaibe_Vahen,meliorkaibe-kasv,muudToot-arv-suur,muudtoot-arv_Vahend,muudtootstabil,muud-pv_Vahenam,muudinvesteerimine,muudpv-suurend,muudsuur-kaibekasv,-muudkaibe-stab,muudkaibe_Vahen,muudkaibe-kasv,mitu-muud-ettev,asul-kaive-k5,asul-mitu-ettekaive-k5,asul-ettevaive-k4,mitu-ettev-K4,ettev-kaive-K3,ettevkaivek2,ettevkaiveK1,plastK5,plastK4,puitK5,puitK4,trK5,trK4,kalaK5/toitK5,pmK5,pmK3-4,majutK5,majutK4,mitu-majut-K4-asulas,kaupK5,kaupK4,maaparehitusK4,ehitus/MPK5,ettev-tootaj-yle-20,mitu-ettev-toot-yle-20,plastyle-20-toot,puityle20-toot,tryle-20toot,majutyle20-toot,kaup-yle-20toot,eh-ule20toot,projekteerimine,kinnisvaraari,pehmemoobliosade-tootmine,oigusabi,spa-teenus,jahtklubi,metallitoost,pyyniste_Valm,kummitootm,paadiehitus,toiittoost-ule-20in,sadam-kaibekasv,sadam-pv-suurend,sadam-tootajad-stab,toidutoostus,toit-kaibe_Vahen,toitt-kaibe-suur,toidutoost-pv-suur,toidutoost-toot-arv-suur,kutuseari-kaibekasv,kutuseari-pv-suurend,asulas-muud-K5,kergt-tekstoost,kergtoostK5,kerg-pv-stab,kerg-pv-suurend
KURESSAARE,,,,X,X,,,,X,X,,,,X,X,,,,X,X,X,X,X,X,,X,X,X,X,,X,X,X,X,X,,X,,X,X,X,X,,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,X,X,,,X,X,X,X,X,,X,X,X,,X,,,X,X,X,X,X,X,X,X,X,,,X,X,X,X,,X,X,,X,,,X,X,X,X,X,X,,X,,X,X,X,X,X,X,,,,,X,,X,X,X,X,X,X,X,,X,,X,X,,X,X,X,X,X,X,,X,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,X,X,X,,X,X,X,,X,,,X,X,X,,,X,X,,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,,X,X,,X,X,X,,,X,X,X,,X
KAARMA_V_ABRUKA,X,,,,X,,X,,,X,X,,,,X,,X,,,X,,,,X,,,,,,X,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAARMA_V_ANIJALA,X,,,,X,,X,,,X,X,,,,X,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAARMA_V_ANSI,X,,,,X,,X,,,X,,X,,,X,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAARMA_V_ASTE,,,X,,X,,,,X,X,X,,,,X,,,,X,X,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
KAARMA_V_ASTE-alevik,,,,X,X,,,,X,X,,,X,,X,,,,X,X,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAARMA_V_ASUKYLA,,X,,,X,,,X,,X,,X,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAARMA_V_AULA-VINTRI,X,,,,X,X,,,,X,X,,,,X,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAARMA_V_EIKLA,,X,,,X,,,X,,X,X,,,,X,,,,X,X,,,X,,,,,,,X,,X,,X,,,,,X,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,X,,,,X,,X,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAARMA_V_ENDLA,X,,,,X,,X,,,X,X,,,,X,,X,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
