Range,GC,QC,QCG,ST,IB,MSM,SI,CV,CFC,CU,GE,CL
0.0-0.1,0.508578332016411,0.488025223446328,0.488025223446328,0.477979365637011,0.503378099911454,0.494318098920526,0.312676144666097,0.315392646494963,0.304750079587357,0.480046406670087,0.507966122048354,0.614542481899717
0.1-0.2,0.406518412982025,0.347984625674852,0.350313839766664,0.400105695339594,0.405836063357122,0.381367525614859,0.278794166676703,0.22200335941285,0.277404573433661,0.394222428134216,0.406530503929915,0.548713830384755
0.2-0.3,0.370506170643225,0.295197592879931,0.307267658740789,0.363519751472784,0.366698824314446,0.329245433222194,0.272938887225979,0.239645780204402,0.285704198896272,0.362472012096405,0.369059212046039,0.546791493519319
0.3-0.4,0.350017244209684,0.269268751079344,0.293814220525262,0.332832102460565,0.336264181633922,0.277728316989794,0.269383752935741,0.258421079443402,0.281571460641057,0.334186074411427,0.346991627141338,0.564121279640907
0.4-0.5,0.402215931293966,0.297679074649486,0.350849594910813,0.349880968340413,0.355521388224,0.294313891152161,0.295732683543938,0.279632722996057,0.314421705303674,0.354193075359106,0.391812393326014,0.632892788764722
0.5-0.6,0.446497438776833,0.284458853821031,0.399492651204405,0.327192703138082,0.338724295150279,0.285968171471822,0.294893968036485,0.27734655184519,0.298581762034768,0.337201560331013,0.432510480318898,0.687814707621297
0.6-0.7,0.570858230165973,0.337329615382812,0.524151802228854,0.353434255631286,0.382280475749238,0.35049430184088,0.356210896865736,0.333627083969056,0.357891317327615,0.379994282252213,0.549911336546532,0.795917580310385
0.7-0.8,0.692673304501729,0.362152332024776,0.661594751788829,0.359895956037051,0.376636630666291,0.407901723223779,0.426615719038128,0.395802607312568,0.411174280846017,0.374694608327871,0.670504659034951,0.869164419087541
0.8-0.9,0.904142486631406,0.586325497174476,0.888675656084893,0.60225684184014,0.484067735626298,0.595587109989595,0.624449174143106,0.601216877258619,0.610648850295695,0.487027359721157,0.889343186466106,0.972478185071135
0.9-1.0,0.972230929192852,0.783650982350675,0.973035386352878,0.798490650681764,0.655286804805007,0.763989557744941,0.778372004152436,0.775397451301149,0.772609452947368,0.671641364420027,0.968492114803049,0.996963149858942
