Range,GC,QC,QCG,ST,IB,MSM,SI,CV,CFC,CU,GE,CL
0.0-0.1,0.992999429200829,0.999382630291679,0.993017090932794,0.905970597785717,0.943535127696238,0.903269206716636,0.943860946701639,0.83814006393553,0.938131234579193,0.971065596313136,0.999603824790143,1
0.1-0.2,0.991603967753,1,0.969733034483402,0.928114008802832,0.953999096733812,0.817097349716733,0.782926116138284,0.803114229359311,0.884912811523034,0.965668068046042,0.99778547591992,1
0.2-0.3,0.98275063712311,1,0.923102801519259,0.942416933885222,0.963784412033046,0.737146524918373,0.658840607140418,0.756620043850129,0.845284081715478,0.970416545484187,0.990899062948047,1
0.3-0.4,0.934027199903035,1,0.863599746740158,0.921685213790956,0.952148642841457,0.594336075453388,0.611368254567011,0.603129069696517,0.710734211748444,0.961415500852708,0.960467269550796,1
0.4-0.5,0.898638275909486,1,0.854844590298134,0.896434111442901,0.943493181008936,0.561234274727159,0.596607459024226,0.533884117744766,0.619480511955792,0.947530249118835,0.929053488543152,1
0.5-0.6,0.918051229875004,1,0.885986583323604,0.822339799411852,0.905359584936781,0.521551373553461,0.550927654911647,0.493413524066621,0.549953411941654,0.905366912154649,0.92635261481512,1
0.6-0.7,0.950265779223337,1,0.934981278548691,0.736249371692085,0.866977673927474,0.548065957734471,0.565009315296723,0.509295758156398,0.552822098607986,0.867420780651518,0.957009087550639,1
0.7-0.8,0.986209758926812,0.983033697195793,0.981612125916472,0.646316674123722,0.784255566613825,0.573224532131229,0.576251502667505,0.534329207561303,0.563544760567062,0.782574281198129,0.985225746551871,1
0.8-0.9,0.99520835004105,0.89573180394487,0.995603630153668,0.725607450430701,0.649595225287514,0.677759080167391,0.699256408710907,0.669543236593687,0.687144764353755,0.654642257304677,0.994042420969129,0.999673976119994
0.9-1.0,0.992448815147594,0.928296530225155,0.997574753101564,0.893012863514018,0.792556361528809,0.84204680737748,0.867820743962533,0.866043860870463,0.862211180927113,0.818723755213231,0.99486444739444,0.999962121212121
