10-concepts,GC,QC,QCG,ST,IB,MSM,SI,CV,CFC,CU,GE,CL
Basket-ecommerce,0.454625940681718,0.454625940681718,0.454625940681718,0.452412571934484,0.454625940681718,0.454625940681718,0.0393979637007525,0.0270030987162461,0.0385126162018592,0.449756529437804,0.454625940681718,0.473218238158477
Basket-grocery,0.443627450980392,0.306372549019608,0.306372549019608,0.362745098039216,0.372549019607843,0.225490196078431,0.0514705882352941,0.29656862745098,0.0857843137254902,0.377450980392157,0.428921568627451,0.556372549019608
Basket-Instacart,0.350526315789474,0.32021052631579,0.32021052631579,0.292210526315789,0.276842105263158,0.225263157894737,0.171157894736842,0.166947368421053,0.00568421052631579,0.273473684210526,0.371578947368421,0.419578947368421
House-votes,0.792271784232365,0.547199170124481,0.663900414937759,0.638226141078838,0.520228215767635,0.262707468879668,0.454616182572614,0.267894190871369,0.454616182572614,0.519190871369295,0.718879668049793,0.897302904564315
IAPB-students,0.795086969789442,0.353982300884956,0.353982300884956,0.640219713152273,0.289441562404638,0.518004272200183,0.518614586512054,0.548367409215746,0.518614586512054,0.250228867866951,0.456820262435154,0.906927067439732
STT,0.681563165022248,0.10311472238344,0.10311472238344,0.59295801895918,0.473592571096924,0.418456181079512,0.44882956084349,0.0944089765912169,0.420197330237957,0.362545946991681,0.707486941381312,0.737860321145289
Student-gradings,0.719002842772797,0.533129236824841,0.628034113273562,0.427946643341351,0.432976164443473,0.370435162912749,0.403455062322327,0.378744806472775,0.394270719440192,0.432976164443473,0.724907063197026,0.83708725125738
Zoo,0.913636363636364,0.798484848484848,0.877272727272727,0.66969696969697,0.627272727272727,0.404545454545455,0.407575757575758,0.407575757575758,0.407575757575758,0.627272727272727,0.936363636363636,0.993939393939394
Telecom,0.684765502045955,0.192477179729304,0.23371104815864,0.0308467107333963,0.0333648095687756,0.39298079949638,0.362134088762984,0.372993389990557,0.398646521875984,0.0258105130626377,0.693893610324205,0.427762039660057
TTTH,0.699949315762798,0.204257475924987,0.204257475924987,0.533705017739483,0.446528129751647,0.401926001013685,0.434363912823112,0.153573238722757,0.534211860111505,0.357323872275722,0.725798276735935,0.747085656360872
