Full cover,GC,QC,QCG,ST,IB,MSM,SI,CV,CFC,CU,GE,CL
Basket-ecommerce,1,1,1,0.951305887560868,0.947321823815848,0.856573705179283,0.989818503762727,0.913235945108455,0.950420540061974,0.967684816290394,1,1
Basket-grocery,0.990196078431373,0.955882352941177,0.985294117647059,0.808823529411765,0.757352941176471,0.727941176470588,0.740196078431373,0.786764705882353,0.79656862745098,0.767156862745098,1,1
Basket-Instacart,0.97621052631579,0.872210526315789,0.854947368421053,0.732210526315789,0.725894736842105,0.438315789473684,0.453894736842105,0.477473684210526,0.580842105263158,0.736,0.978736842105263,0.985473684210526
House-votes,0.93801867219917,1,0.857624481327801,0.750259336099585,0.683091286307054,0.471991701244813,0.471473029045643,0.473547717842324,0.473547717842324,0.683091286307054,0.964989626556017,0.997665975103734
IAPB-students,0.951785169362222,1,0.905401281660055,0.836588342996643,0.403722917302411,0.532956972841013,0.553249923710711,0.586512053707659,0.573085138846506,0.32834909978639,0.999542264266097,1
STT,0.988972721996518,0.962275101567034,0.975623911781776,0.77616560263107,0.733023795705165,0.730315341458696,0.713484232927065,0.606113368156317,0.850648094408977,0.671116270071581,0.990713871154962,1
Student-gradings,0.941613820249289,1,0.909687294992346,0.546905751148043,0.554122020555434,0.429914716816094,0.481521976820468,0.474524382243604,0.458998469276186,0.554122020555434,0.968729499234638,0.995407828558933
Zoo,0.98030303030303,1,0.974242424242424,0.76969696969697,0.759090909090909,0.590909090909091,0.590909090909091,0.553030303030303,0.606060606060606,0.693939393939394,0.995454545454545,1
Telecom,0.995435945860875,0.715297450424929,0.966635190431224,0.15801070192005,0.155177840730249,0.577274158010702,0.580107019200504,0.578847969782814,0.583726786276361,0.0923827510229776,1,1
TTTH,0.995945261023822,0.979726305119108,0.996452103395844,0.699442473390775,0.646730866700456,0.717181956411556,0.636087176887988,0.74455144450076,0.825139381652306,0.633046122655854,1,1
